,por_que_pelota_que_canta_count,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos_count,que_otra_cosa_podria_ser_una_pelota_de_pelos_count,explica_tu_respuesta_en_la_frase_pelota_de_plata_count,c1t_count,c2t_count,c3t_count,c4t_count,c5t_count,c6t_count,que_significa_1_count,por_que_crees_que_si_o_no_es_posible_1_count,que_significa_2_count,por_que_crees_que_si_o_que_no_es_posible_2_count,que_significa_3_count,por_que_crees_que_si_o_que_no_es_posible_3_count,que_significa_4_count,por_que_crees_que_si_o_que_no_es_posible_4_count,que_significa_5_count,por_que_crees_que_si_o_que_no_es_posible_5_count,que_significa_6_count,por_que_crees_que_si_o_que_no_es_posible_6_count,que_significa_7_count,por_que_crees_que_si_o_que_no_es_posible_7_count,que_significa_8_count,por_que_crees_que_si_o_que_no_es_posible_8_count,que_significa_9_count,por_que_crees_que_si_o_que_no_es_posible_9_count,suma_total
0,3,3,5,2,2,1,1,1,1,1,5,6,3,6,3,6,3,5,3,3,3,5,3,6,3,5,4,5,97
1,6,5,5,7,4,4,3,0,0,9,5,7,4,4,2,3,6,10,3,8,5,7,2,7,3,5,4,6,134
2,6,0,4,1,3,3,5,3,2,2,3,3,1,2,4,3,1,3,1,2,2,1,2,3,2,3,1,1,67
3,8,7,10,7,5,5,2,3,4,6,7,12,5,9,5,11,9,8,8,10,6,11,8,12,5,10,6,12,211
4,7,7,10,5,2,5,3,2,2,3,7,4,5,7,5,5,4,3,9,7,2,6,4,5,2,8,3,3,135
5,6,4,12,2,1,3,2,2,9,5,2,6,0,4,0,4,3,12,2,6,2,5,0,6,2,5,0,6,111
6,2,5,6,6,3,5,2,2,6,5,7,3,7,3,6,3,7,3,5,3,6,3,5,3,5,3,5,3,122
7,2,5,5,2,3,4,3,5,3,7,2,11,5,4,6,7,6,8,6,6,8,8,6,4,5,7,5,7,150
8,7,6,5,4,4,5,5,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
9,9,5,3,6,1,2,3,1,3,6,5,11,6,6,6,6,5,4,5,5,6,7,3,5,5,4,4,5,137
